               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.051471,            0.036237,                   0,             0.68113,             0.56025,             0.60381,             0.25825,            0.052057,             0.02159,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.051245,            0.035482,                   0,             0.69261,              0.5851,             0.63507,             0.27514,            0.051107,            0.021363,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.050587,            0.034484,                   0,             0.66804,             0.56702,             0.59573,              0.2319,            0.052609,            0.021758,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.050716,            0.035696,                   0,             0.74121,             0.59383,             0.66228,             0.28305,            0.050876,            0.020101,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.051204,            0.034838,                   0,             0.71158,             0.59031,             0.64313,              0.2681,            0.050813,             0.02082,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.050187,            0.034223,                   0,             0.72126,             0.60385,             0.66674,             0.28774,            0.049839,            0.020828,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.050171,             0.03542,                   0,             0.71403,             0.60655,             0.66063,             0.28431,             0.05018,            0.020315,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.049484,            0.035002,                   0,             0.72919,             0.57568,             0.63782,             0.27797,            0.051251,             0.02074,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.050228,             0.03467,                   0,             0.70863,              0.5922,             0.64599,             0.28508,            0.049988,            0.020868,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.049494,            0.033662,                   0,             0.74114,             0.59653,             0.66278,                0.29,            0.049872,            0.020623,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.049129,            0.034389,                   0,              0.7202,              0.6117,             0.67187,             0.29033,            0.049581,             0.02093,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.049392,            0.035266,                   0,             0.71036,             0.60276,             0.65968,             0.27803,            0.050358,            0.021184,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.04942,            0.035442,                   0,             0.71442,             0.62321,             0.66398,             0.28311,            0.049625,            0.020614,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.048781,            0.034144,                   0,              0.7545,             0.60167,             0.68105,             0.30526,            0.049067,            0.019921,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.048289,            0.033728,                   0,             0.71316,              0.6163,             0.66615,             0.29933,             0.04899,             0.02048,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.048484,            0.034352,                   0,             0.74532,             0.62841,             0.69499,             0.31931,            0.047757,            0.020169,                   0,            0.007426,            0.007426,            0.007426
